% Boys Enrolled,% Complete Primary Schools,% Girls Enrolled,% Primary Schools with single classroom,% Primary Schools with single teacher,All Four Facilities,Any One Facility,Any Three Facilities,Any Two Facilities,Area (km²),Bomb Blasts Occurred,"Boundary wall, Building condition satisfactory, Drinking water and 2 more (clusters)",Boundary wall,Building condition satisfactory,MeasureGroup 1 Measures,Color By Measure Value,Show Sheet,Table of Contents,Other Factors Measure Value,Analysis Level Selector,Color By Measure Name,Complete Primary Schools,Country,City,Drinking water,Drone attacks in Pakistan,Education score,Educational Budget Spend of GDP,Electricity,Enrolment score,Gender parity score,Global Terrorism Index - Pakistan,Learning score,MeasureGroup 2 Measures,No Facility,Number of Records,Number of primary schools as % of total schools,Number of primary schools,Number of secondary schools as % of total schools,Number of secondary schools,Pakistan Economic Growth,Population,Primary Schools with single classroom,Primary Schools with single teacher,Province,Retention score,School infrastructure score,Terrorist Attacks Affectees,Toilet,Total number of schools,Year
64.58%,0,35.42%,0.409657321,0.660436137,28.81%,9.71%,28.35%,33.13%,9830,41,Cluster 1,39.25081433,3.583061889,85.4216716,85.4216716,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Balochistan,Gender parity score,0,Pakistan,Loralai,54.56026059,24,39.7054179,2.59%,50.6514658,27.5,85.4216716,9.07,17.5,39.7054179,0.00%,1,0.887966805,642,0.112033195,81,3.70%,295555,263,424,Balochistan,28.4,32.37785016,5379,13.84364821,723,2013
88.52%,0.392739274,11.48%,0.165016502,0.442244224,20.40%,7.93%,31.44%,40.23%,5896,41,Cluster 1,47.82608696,23.7458194,61.48175448,61.48175448,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Balochistan,Gender parity score,119,Pakistan,Mastung,90.96989967,24,52.92252195,2.59%,8.695652174,93.33333333,61.48175448,9.07,22.075,52.92252195,0.00%,1,0.801587302,303,0.198412698,75,3.70%,179784,50,134,Balochistan,34.8,39.33110368,5379,25.4180602,378,2013
90.33%,0,9.67%,0.378787879,0.78030303,21.60%,3.14%,50.87%,24.39%,5728,41,Cluster 1,29.296875,9.375,59.67430025,59.67430025,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Balochistan,Gender parity score,0,Pakistan,Musakhail,89.0625,24,31.51232506,2.59%,0.390625,20,59.67430025,9.07,32.775,31.51232506,0.00%,1,0.868421053,264,0.131578947,40,3.70%,134056,100,206,Balochistan,13.6,28.984375,5379,16.796875,304,2013
100.00%,0,0.00%,0.35619469,0.685840708,24.84%,20.22%,22.20%,32.75%,3387,41,Cluster 1,24.58628842,2.600472813,45.73664122,45.73664122,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Balochistan,Gender parity score,0,Pakistan,Nasirabad,81.56028369,24,44.71957697,2.59%,35.69739953,44.16666667,45.73664122,9.07,58.975,44.71957697,0.00%,1,0.88976378,452,0.11023622,56,3.70%,245894,161,310,Balochistan,30,29.45626478,5379,2.836879433,508,2013
67.19%,0.524096386,32.81%,0.078313253,0.397590361,80.47%,0.00%,17.21%,2.33%,5797,41,Cluster 1,52.63157895,3.289473684,82.80642224,82.80642224,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Balochistan,Gender parity score,87,Pakistan,Nushki,53.28947368,24,51.42452223,2.59%,26.31578947,51.66666667,82.80642224,9.07,24.425,51.42452223,0.00%,1,0.697478992,166,0.302521008,72,3.70%,137500,13,66,Balochistan,46.8,36.05263158,5379,44.73684211,238,2013
81.70%,0.595611285,18.30%,0.103448276,0.300940439,7.30%,9.19%,42.97%,40.54%,16891,41,Cluster 1,32.01438849,17.62589928,68.30014196,68.30014196,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Balochistan,Gender parity score,190,Pakistan,Panjgur,93.52517986,24,50.97086882,2.59%,7.194244604,70.83333333,68.30014196,9.07,32.75,50.97086882,0.00%,1,0.811704835,319,0.188295165,74,3.70%,234051,33,96,Balochistan,32,33.09352518,5379,15.10791367,393,2013
77.83%,0.145102781,22.17%,0.338573156,0.516324063,34.47%,12.42%,30.29%,22.81%,7819,41,Cluster 1,28.85638298,12.63297872,72.16566557,72.16566557,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Balochistan,Gender parity score,120,Pakistan,Pishin,95.07978723,24,52.53933306,2.59%,8.510638298,84.16666667,72.16566557,9.07,29.025,52.53933306,0.00%,1,0.838742394,827,0.161257606,159,3.70%,367183,280,427,Balochistan,24.8,32.23404255,5379,16.09042553,986,2013
63.34%,0.751282051,36.66%,0.094871795,0.153846154,42.91%,3.54%,37.99%,15.55%,2653,41,Cluster 1,59.9009901,12.12871287,86.65940487,86.65940487,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Balochistan,Gender parity score,293,Pakistan,Quetta,94.05940594,24,66.32943455,2.59%,23.01980198,85.83333333,86.65940487,9.07,52.025,66.32943455,0.00%,1,0.681818182,390,0.318181818,182,3.70%,744802,37,60,Balochistan,40.8,44.35643564,5379,32.67326733,572,2013
100.00%,0.012195122,0.00%,0.237804878,0.75,20.96%,7.78%,44.31%,26.95%,0,41,Cluster 1,25.92592593,25.30864198,48.79450519,48.79450519,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Balochistan,Gender parity score,2,Pakistan,Sherani,90.12345679,24,45.7923763,2.59%,10.49382716,82.5,48.79450519,9.07,27.075,45.7923763,0.00%,1,0.891304348,164,0.108695652,20,3.70%,0,39,123,Balochistan,24.8,34.81481482,5379,22.22222222,184,2013
56.16%,0.368932039,43.84%,0.276699029,0.354368932,58.26%,3.67%,18.35%,19.72%,7796,41,Cluster 1,3.398058252,1.941747573,93.83975288,93.83975288,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Balochistan,Gender parity score,76,Pakistan,Sibi,85.4368932,24,61.37035489,2.59%,22.81553398,81.66666667,93.83975288,9.07,26.775,61.37035489,0.00%,1,0.78030303,206,0.21969697,58,3.70%,180398,57,73,Balochistan,43.2,27.47572816,5379,23.78640777,264,2013
74.93%,0.174193548,25.07%,0.2,0.625806452,27.33%,0.58%,66.86%,5.23%,29510,41,Cluster 1,18.11594203,41.30434783,75.07069672,75.07069672,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Balochistan,Gender parity score,27,Pakistan,Washuk,39.85507246,24,48.93434085,2.59%,4.347826087,74.16666667,75.07069672,9.07,16.5,48.93434085,0.00%,1,0.824468085,155,0.175531915,33,3.70%,118171,31,97,Balochistan,30,22.31884058,5379,7.971014493,188,2013
78.93%,0.152027027,21.07%,0.165540541,0.682432432,15.24%,6.10%,36.89%,41.77%,20297,41,Cluster 1,1.766784452,7.77385159,71.07197913,71.07197913,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Balochistan,Gender parity score,45,Pakistan,Zhob,80.91872792,24,39.63466145,2.59%,15.90106007,49.16666667,71.07197913,9.07,15.1,39.63466145,0.00%,1,0.848137536,296,0.151862464,53,3.70%,275142,49,202,Balochistan,23.2,23.39222615,5379,10.60070671,349,2013
75.37%,0.178082192,24.63%,0.296803653,0.525114155,6.59%,30.23%,18.22%,44.96%,1489,41,Cluster 1,42.34234234,17.56756757,74.63421162,74.63421162,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Balochistan,Gender parity score,39,Pakistan,Ziarat,17.11711712,24,56.07938624,2.59%,4.504504505,70.83333333,74.63421162,9.07,38.45,56.07938624,0.00%,1,0.829545455,219,0.170454545,45,3.70%,33340,65,115,Balochistan,40.4,20.81081081,5379,22.52252252,264,2013
94.20%,0.908560311,5.80%,0.007782101,0.083657588,17.45%,23.83%,13.26%,20.97%,,41,Cluster 1,45.71948998,14.38979964,55.8017181,55.8017181,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",FATA,Gender parity score,467,Pakistan,Bajaur Agency,24.95446266,24,48.80876286,2.59%,30.78324226,67.33333333,55.8017181,9.07,52.5,48.80876286,24.50%,1,0.856666667,514,0.143333333,86,3.70%,,4,43,FATA,19.6,28.63387978,5379,27.32240437,600,2013
69.59%,0.917378917,30.41%,0,0.082621083,20.44%,23.40%,28.57%,16.01%,1227,41,Cluster 1,82.20858896,1.840490798,80.40607529,80.40607529,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",FATA,Gender parity score,322,Pakistan,FR Bannu,56.44171779,24,54.34318549,2.59%,62.26993865,51.33333333,80.40607529,9.07,50.83333333,54.34318549,11.58%,1,0.851941748,351,0.148058252,61,3.70%,675667,0,29,FATA,34.8,51.47239264,5379,54.60122699,412,2013
100.00%,0.886363636,0.00%,0.015151515,0.098484848,15.79%,26.97%,11.84%,18.42%,,41,Cluster 1,59.01639344,40.16393443,36.27707943,36.27707943,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",FATA,Gender parity score,117,Pakistan,FR DI Khan,45.90163934,24,27.99426986,2.59%,27.86885246,33.33333333,36.27707943,9.07,18.76666667,27.99426986,26.97%,1,0.851612903,132,0.148387097,23,3.70%,,2,13,FATA,23.6,44.59016393,5379,50,155,2013
100.00%,0.945578231,0.00%,0.020408163,0.034013605,15.68%,28.11%,18.38%,21.08%,,41,Cluster 1,82.75862069,6.896551724,22.84692089,22.84692089,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",FATA,Gender parity score,139,Pakistan,FR Kohat,44.82758621,24,15.21173022,2.59%,53.44827586,0,22.84692089,9.07,0,15.21173022,16.76%,1,0.794594595,147,0.205405405,38,3.70%,,3,5,FATA,38,46.37931035,5379,43.96551724,185,2013
63.75%,0.979166667,36.25%,0,0.020833333,15.89%,32.71%,10.28%,26.17%,,41,Cluster 1,79.76190476,3.571428571,86.2480916,86.2480916,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",FATA,Gender parity score,94,Pakistan,FR Lakki Marwat,23.80952381,24,51.07868957,2.59%,15.47619048,45.83333333,86.2480916,9.07,36.63333333,51.07868957,14.95%,1,0.834782609,96,0.165217391,19,3.70%,,0,2,FATA,35.6,32.38095238,5379,39.28571429,115,2013
80.79%,0.953333333,19.21%,0.013333333,0.033333333,40.00%,6.67%,24.44%,19.44%,,41,Cluster 2,84.375,23.4375,69.20867714,69.20867714,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",FATA,Gender parity score,143,Pakistan,FR Peshawar,63.28125,24,49.36050262,2.59%,50.78125,76,69.20867714,9.07,16.63333333,49.36050262,9.44%,1,0.824175824,150,0.175824176,32,3.70%,,2,5,FATA,35.6,55.78125,5379,57.03125,182,2013
87.97%,0.830687831,12.03%,0.026455026,0.142857143,26.29%,20.19%,19.72%,22.54%,,41,Cluster 1,60.24844721,29.19254658,62.03333333,62.03333333,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",FATA,Gender parity score,157,Pakistan,FR Tank,44.09937888,24,51.88333333,2.59%,29.8136646,73.5,62.03333333,9.07,25.2,51.88333333,11.27%,1,0.828947368,189,0.171052632,39,3.70%,,5,27,FATA,46.8,43.35403727,5379,53.41614907,228,2013
75.80%,0.913043478,24.20%,0.00621118,0.080745342,41.73%,10.11%,22.43%,14.52%,,41,Cluster 1,57.7746077,10.84165478,74.20202167,74.20202167,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",FATA,Gender parity score,588,Pakistan,Khyber Agency,3.138373752,24,48.56717209,2.59%,17.83166904,74.16666667,74.20202167,9.07,36.3,48.56717209,11.21%,1,0.878581173,644,0.121418827,89,3.70%,,4,52,FATA,9.6,25.62054208,5379,38.51640514,733,2013
92.55%,0.906614786,7.45%,0.009727626,0.083657588,24.61%,15.94%,16.64%,16.64%,,41,Cluster 1,37.65957447,34.46808511,57.44777411,57.44777411,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",FATA,Gender parity score,466,Pakistan,Kurram Agency,41.70212766,24,15.36194353,2.59%,44.68085106,0,57.44777411,9.07,0,15.36194353,26.17%,1,0.829032258,514,0.170967742,106,3.70%,,5,43,FATA,4,38.68085106,5379,34.89361702,620,2013
66.93%,0.953535354,33.07%,0.002020202,0.044444444,15.26%,20.70%,15.44%,16.49%,,41,Cluster 1,44.14784394,7.186858316,83.06743373,83.06743373,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",FATA,Gender parity score,472,Pakistan,Mohmand Agency,28.33675565,24,49.36685843,2.59%,31.41683778,67.33333333,83.06743373,9.07,28.66666667,49.36685843,32.11%,1,0.831932773,495,0.168067227,100,3.70%,,1,22,FATA,18.4,28.29568789,5379,30.39014374,595,2013
86.70%,0.839416058,13.30%,0.077858881,0.082725061,47.12%,12.15%,21.96%,11.94%,,41,Cluster 1,61.23521682,19.57950066,63.29933257,63.29933257,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",FATA,Gender parity score,690,Pakistan,North Waziristan Agency,58.21287779,24,26.32483314,2.59%,62.54927727,0,63.29933257,9.07,0,26.32483314,6.82%,1,0.868004224,822,0.131995776,125,3.70%,,64,68,FATA,42,50.24967149,5379,49.67148489,947,2013
78.79%,0.937209302,21.21%,0.018604651,0.044186047,5.93%,18.61%,10.22%,19.43%,,41,Cluster 1,40.86538462,32.93269231,71.20807473,71.20807473,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",FATA,Gender parity score,403,Pakistan,Orakzai Agency,14.42307692,24,49.89785202,2.59%,24.03846154,74.58333333,71.20807473,9.07,51,49.89785202,45.81%,1,0.866935484,430,0.133064516,66,3.70%,,8,19,FATA,2.8,25.67307692,5379,16.10576923,496,2013
